"Pomurska";1333.98;1336.85;1364.55;1383.76;1412.02;1456.24
"Podravska";1398.73;1394.51;1404.54;1420.30;1449.99;1495.24
"Koroška";1395.46;1406.19;1427.19;1453.62;1493.84;1540.18
"Savinjska";1395.37;1396.90;1421.22;1429.58;1445.36;1485.79
"Zasavska";1404.17;1414.36;1409.93;1378.79;1410.34;1453.92
"Posavska";1420.24;1415.44;1435.01;1445.78;1480.66;1526.79
"Jugovzhodna Slovenija";1509.92;1516.62;1554.82;1560.47;1583.01;1612.03
"Primorsko-notranjska";1325.96;1336.21;1355.89;1374.28;1388.68;1431.09
"Osrednjeslovenska";1699.22;1685.00;1696.05;1719.97;1751.43;1794.34
"Gorenjska";1484.50;1508.29;1526.09;1545.33;1570.01;1616.91
"Goriška";1460.38;1458.25;1472.42;1487.37;1523.53;1562.57
"Obalno-kraška";1505.94;1494.41;1510.98;1533.34;1559.86;1597.48
