SLOVENIJA;1494.88;1524.65;1525.47;1523.18;1540.25;1555.89;1584.66;1626.95
Ajdovšèina;1381.02;1420.68;1372.73;1369.08;1381.31;1396.38;1437.43;1471.64
Apaèe;1315.45;1288.35;1256.42;1281.09;1264.54;1294.76;1363.81;1391.33
Beltinci;1136.32;1182.35;1191.19;1187.93;1214.93;1247.09;1267.73;1313.11
Benedikt;1350.47;1368.42;1362.17;1332.31;1365.07;1345.98;1390.23;1411.42
Bistrica ob Sotli;1350.87;1307.97;1327.07;1351.43;1343.62;1358.24;1348.08;1420.16
Bled;1424.25;1459.37;1455.93;1461.22;1481.48;1429.83;1467.50;1539.73
Bloke;1131.90;1077.84;1126.41;1169.89;1130.82;1144.14;1222.67;1302.67
Bohinj;1112.29;1148.45;1148.95;1170.04;1179.24;1169.12;1211.92;1270.18
Borovnica;1213.12;1251.98;1342.44;1351.12;1310.02;1363.40;1438.46;1513.41
Bovec;1224.82;1303.83;1309.43;1403.67;1394.93;1400.46;1430.66;1436.20
Braslovèe;1306.57;1333.11;1305.29;1293.87;1331.74;1355.36;1388.89;1470.69
Brda;1336.99;1436.89;1369.79;1405.07;1432.73;1382.81;1412.04;1473.20
Brezovica;1318.84;1346.83;1356.50;1339.73;1314.71;1312.74;1334.27;1415.31
Brežice;1333.24;1371.82;1359.47;1350.24;1370.68;1388.45;1428.09;1462.56
Cankova;1465.37;1356.21;1333.49;1353.97;1375.06;1368.60;1319.86;1330.71
Celje;1453.93;1484.16;1484.14;1471.20;1497.56;1506.94;1527.48;1568.44
Cerklje na Gorenjskem;1891.32;1886.38;1883.85;2244.19;2277.95;2348.26;2297.44;2323.67
Cerknica;1203.96;1239.32;1253.10;1273.27;1314.28;1311.81;1314.77;1358.13
Cerkno;1187.04;1218.92;1247.80;1269.91;1274.61;1305.38;1295.92;1293.57
Cerkvenjak;1368.25;1403.74;1388.63;1369.85;1397.33;1451.11;1430.79;1298.32
Cirkulane;1228.01;1208.65;1245.59;1261.42;1277.69;1311.02;1315.68;1352.27
Èrenšovci;1189.83;1200.78;1241.67;1249.95;1273.83;1311.47;1360.27;1392.04
Èrna na Koroškem;1438.94;1458.91;1443.41;1457.02;1461.15;1504.14;1538.91;1572.48
Èrnomelj;1221.31;1244.15;1295.22;1292.30;1306.31;1312.20;1337.18;1354.00
Destrnik;1404.46;1349.17;1216.49;1178.71;1211.46;1303.36;1358.20;1406.17
Divaèa;1396.01;1471.63;1405.60;1342.24;1339.45;1378.74;1401.87;1480.55
Dobje;1465.64;1428.04;1511.67;1571.60;1604.42;1668.72;1651.73;1669.27
Dobrepolje;1222.46;1239.24;1198.96;1232.99;1234.49;1221.73;1273.76;1282.72
Dobrna;1292.65;1297.97;1309.70;1295.30;1272.28;1251.20;1282.07;1352.55
Dobrova - Polhov Gradec;1309.70;1388.96;1381.49;1336.75;1307.64;1286.58;1307.91;1342.71
Dobrovnik/Dobronak;1404.04;1359.74;1392.16;1404.19;1346.76;1341.91;1370.45;1452.06
Dol pri Ljubljani;1708.50;1760.47;1753.01;1646.15;1641.97;1619.83;1656.61;1682.50
Dolenjske Toplice;1310.64;1330.06;1306.13;1308.51;1309.22;1324.72;1356.78;1423.09
Domžale;1408.00;1438.85;1462.84;1454.70;1435.82;1436.96;1460.34;1485.26
Dornava;1317.56;1292.78;1301.93;1295.73;1325.93;1369.85;1434.18;1497.82
Dravograd;1304.67;1311.07;1315.99;1339.14;1360.29;1362.14;1417.16;1468.15
Duplek;1236.32;1227.95;1237.21;1230.51;1239.58;1234.90;1279.93;1286.73
Gorenja vas - Poljane;1392.29;1408.22;1412.76;1406.99;1444.38;1469.25;1530.87;1569.66
Gorišnica;1205.49;1238.52;1172.14;1201.65;1241.83;1243.78;1283.83;1311.49
Gorje;1325.98;1332.93;1347.19;1342.41;1337.44;1330.76;1360.26;1407.74
Gornja Radgona;1280.71;1299.11;1308.79;1331.53;1391.50;1418.12;1432.01;1451.06
Gornji Grad;1192.51;1196.64;1198.72;1239.12;1251.55;1275.16;1304.81;1300.70
Gornji Petrovci;1095.65;1107.63;1135.84;1133.31;1138.13;1136.64;1122.88;1125.80
Grad;1520.89;1511.00;1519.38;1518.35;1410.65;1357.84;1413.07;1394.37
Grosuplje;1391.26;1401.16;1391.31;1375.36;1391.07;1424.04;1427.54;1448.98
Hajdina;1154.54;1152.65;1047.87;1090.51;1093.93;1060.98;1142.71;1241.37
Hoèe - Slivnica;1361.15;1398.45;1409.53;1418.65;1439.44;1468.06;1472.65;1517.82
